Date,Architecture,Hash,Filename,Result
2024-01-02 20:59:21.853132,32-bit,e86b7a3a04a0e73f8538d7cdc8d387d1bd6a6a84,VirusShare_00000bd55c61bc0e490d8410db131303,
2024-01-02 21:00:00.044942,32-bit,1be1171ff1fc29b808770dd05c76802029964f5d,VirusShare_00015a176370ecfaa58197128e146746,
2024-01-02 21:00:36.952822,32-bit,ac8290a866c89a7c4290c073da2663cf322fb23d,VirusShare_0001b748adaa4a93ee590df26a96d537,
2024-01-02 21:01:11.835363,32-bit,bc6d79da7f47a39b482e1cb9c3e5387463052916,VirusShare_0001dcd2a43ae6178c82b606b4ac2b04,
2024-01-02 21:01:41.740465,32-bit,19c6d6369736d14cfc6d1b53b1990c8ba39b904f,VirusShare_0002dc6cb50122aaaa48244629a124c7,
2024-01-02 21:02:13.216917,32-bit,7c7d1ab2cdafdac3b38b2cd3eb5e96842a4cae31,VirusShare_0003ae1648c2b8e37514132cfd6a75e5,
2024-01-02 21:02:44.350177,32-bit,e7cdb93d1cf39403a75e7f18f91237960340f452,VirusShare_0006b48218282c93e7c1c6354a724d43,
2024-01-02 21:03:14.648910,32-bit,3ad90b9684a40b45e04722c170bf9580fe564575,VirusShare_000a86a05b6208c3053ead8d1193b863,
2024-01-02 21:03:46.436754,32-bit,ca6ec7e49231dddafa51c79e435d7212279c057b,VirusShare_000bab01e26af6fb41876c9944fdfc95,
2024-01-02 21:04:15.692000,32-bit,5dbba09590696d93d74b4baf598d55082b940764,VirusShare_000ca9415c9aea6c5b88bbf363c05d75,
2024-01-02 21:04:46.952253,32-bit,8017e0c0745076c148989ef560902db350bce925,VirusShare_0015b88a51cfc2e8dba31346e92fcb0d,
2024-01-02 21:05:19.067094,32-bit,2853a955a408bf0e0b4dddd62436caa7ee9d87c0,VirusShare_001b26d1864e59d4fc455cf51ed4dd77,
2024-01-02 21:05:48.740572,32-bit,14bfbbc1dd4a056a435cfe374f15896feedce3ca,VirusShare_001bb1ff877945c6c522fd939d385257,
2024-01-02 21:06:22.500458,32-bit,d09852519cfa2d5ebf52ded4ed6a77ccfffc5df7,VirusShare_001bd0071805d0a60a2087eba3afda50,
2024-01-02 21:06:55.859265,32-bit,393ac80d4655f88266e54e8db36f8e8689ae9371,VirusShare_001d4209f9cec9eadd9fcdc77f5fc021,
2024-01-02 21:07:28.067110,32-bit,eb5b2880cec1e9da2122d0a380854577d152912b,VirusShare_002446a7233cf793de9220fd6f6987e4,
2024-01-02 21:07:59.311296,32-bit,f4a81d72c583531f39fe1820a23e6240c91c7935,VirusShare_002a193886ef54226f73041de941273b,
2024-01-02 21:08:31.224185,32-bit,a49f713a2bc3531f74d231f08c95c7d4aa821875,VirusShare_002c7641c21248dc4e4d3d38a7a1d47e,
2024-01-02 21:09:01.779976,32-bit,1052baf287c586c9ce7bb22501b6f2658fd0a001,VirusShare_003bf478e457e14922773ee19ace329e,
2024-01-02 21:09:36.685244,32-bit,b57153a77061a1fc62d8e7ac4d52dbe4740d1a79,VirusShare_003f6d454c67771f0044cae63f4ff4b8,
2024-01-02 21:10:10.308156,32-bit,7c851bbbc6268257165d9d8b739986104f0500a6,VirusShare_004004cd110d45b9f0cae207b6bff234,
2024-01-02 21:10:42.927597,32-bit,6ee7a07197d4c58e08a5fc96199717d13a5127c2,VirusShare_00415f55fdfff474d125ff885184518c,
2024-01-02 21:11:13.591506,32-bit,e3669871f14b73933871cbc722c1886f1b25c026,VirusShare_0045541fb64f07c6df805999e0a9f141,
2024-01-02 21:11:46.632891,32-bit,16f63eec7fcbb3b61532240651b3fa5ebad93373,VirusShare_00457bab637076a1bcb39e336efd374a,
2024-01-02 21:12:18.104967,32-bit,6093487c17f3d38f20e68a746cad15ba652f3ca9,VirusShare_0048e3733473b7e575aaca6416d332a3,
2024-01-02 21:12:50.961149,32-bit,5b9bda7b24227586060c7fd592ccfd16dea1e635,VirusShare_004c8362ed7ca21ce1e52d8612540a9a,
2024-01-02 21:13:23.250415,32-bit,6389428e22cbec8586769074f59fd1b06f65fa4b,VirusShare_004d2a7dc6a8da569aecd7458ab3a4e8,
2024-01-02 21:13:55.956945,32-bit,013cde42328c1c7a1dda9f7474d2c3dd105993dc,VirusShare_004d5e9dd054345890639045e7ca9ab6,
2024-01-02 21:14:27.335726,32-bit,d65f4e603b96f9b07c4b78ce3272abd2db8ea5fe,VirusShare_005371e20bf24f6319781478f869810f,
2024-01-02 21:15:00.957540,32-bit,b5b6478b0ee60e539bce5027b7ed8793341391c3,VirusShare_00611a92fb4b0a644637e20bf1bdf7a1,
2024-01-02 21:15:31.023778,32-bit,af30de3784b1031c8520f241c54d46b2e0d38936,VirusShare_0061254c3a2d2b340a38e3fc5c27b7e8,
2024-01-02 21:16:02.505436,32-bit,24433f3bc5a5ffc8973e0dd1a67bb9da4509e4e4,VirusShare_006ab28f5b62a2693c6727fdae702a06,
2024-01-02 21:16:33.449464,32-bit,919e1e271d8669b74edb5112eee8ef3af719f667,VirusShare_0070f3dd68888e8d64640bde3e7364df,
2024-01-02 21:17:04.550051,32-bit,b91749cd83408359cba6cf39ec00e120641eb376,VirusShare_00710276a1539931d7d7ae2274ddd300,
2024-01-02 21:17:35.996991,32-bit,1889daa6e05740da1bfa79ad32640c906db4c9a8,VirusShare_0074f7519f42181b402dec084207f5e3,
2024-01-02 21:18:05.986135,32-bit,35c312b7317e713eb10da13371008c80fe1bb69e,VirusShare_00765a2664d3c1c0c1c610f3c120b7a4,
2024-01-02 21:18:38.314185,32-bit,3226196676c6586800cf8a369c540ce2cac6ef6b,VirusShare_007a26d9a9967e475b20ea254aa6ad91,
2024-01-02 21:19:09.124249,32-bit,096b0ba30380bb0f55e24e4e4bd466b01e6abe65,VirusShare_007ad58a1fd24f66a2ed35c6d7c92c70,
2024-01-02 21:19:39.402939,32-bit,c250094bce499393206df1ae44cba3936b96cbdc,VirusShare_007d05dd4a6f4e02efc2a4d3ff8735f0,
2024-01-02 21:20:07.753340,32-bit,af855a4e074cbe17fc5cf375f5c09e775f6d97b8,VirusShare_008b0c13e28d9955ff14b130234540f3,
2024-01-02 21:20:36.610765,32-bit,dcefb3a171e6294e07893d4b21aba3c22f4beab0,VirusShare_00908ff0a998fa9dc5281bc425686a67,
2024-01-02 21:21:07.255396,32-bit,e63b9991ab392967341f828efa5a83e91bdd3eaa,VirusShare_0098a85ad50190e5441631200dc1d579,
2024-01-02 21:21:37.346125,32-bit,09eb7a61c1c6cf5d39faf318ecd410c9792d9c9d,VirusShare_009923f38a2107996fabd2bfbb75a686,
2024-01-02 21:22:12.836572,32-bit,11500689cb9a09f49742b467a7594812cb298bd6,VirusShare_00a86c8ca30440f9d9abc5960916698c,
2024-01-02 21:22:43.547904,32-bit,cf75bc2d31199c628ff81d64143ece8fedcfc327,VirusShare_00adfa4d9f5f1c7ad8ffac4c5419acb3,
