Time detected,Severity,Scanner,Object URI,Detection,Detection Type,Action,User,Application,Circumstances,Hash,Raw detection name
03/01/2024 00:10:13,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0474fa7413d606163a969e7b8d841973,Linux/StealthWorker.A,Trojan,Cleaned by deleting,user,/usr/bin/python3.10,Event occurred on a newly created file.,033134AA0F6F77FC8828E35335549DB70D78AB99,@NAME=Linux/StealthWorker.A@TYPE=Trojan@SUSP=mod
03/01/2024 15:25:23,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_065bbc1013e373c92c3726b5ad532fb1,Linux/HackTool.ExploitScan.A,Trojan,Deleted,user,/usr/bin/python3.10,Event occurred on a newly created file.,0322EC60E2F452DE457443DCCA64AB488DB7DC58,@NAME=Linux/HackTool.ExploitScan.A@TYPE=Trojan@SUSP=mod
04/01/2024 11:07:49,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0deac582df6a6c7bb5d2a8658525ce99,Linux/Mirai.BR,Trojan,Deleted,user,/usr/bin/python3.10,Event occurred on a newly created file.,43072597E425D6518BDFCDFEC5711F6C0BFFDBE1,@NAME=Linux/Mirai.BR@TYPE=Backdoor@SUSP=mod
04/01/2024 11:17:16,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0e08abb771f8bc58a7b7d0c3cfa346f6,Linux/Mirai.AT,Trojan,Cleaned by deleting,user,/usr/bin/python3.10,Event occurred on a newly created file.,EA1EBAD1C4923EF881D02FCB24E374BDC9B7E4D0,@NAME=Linux/Mirai.AT@TYPE=Backdoor@SUSP=mod
04/01/2024 11:26:48,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0e27cb18470186fd452a9a88c689a611,Linux/Mirai.AE,Trojan,Cleaned by deleting,user,/usr/bin/python3.10,Event occurred on a newly created file.,A95B47A552A0176B677B187D9DE42A15FD4E91B7,@NAME=Linux/Mirai.AE@TYPE=Backdoor@SUSP=mod
04/01/2024 11:36:21,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0e41155a66c810f30fa2cef1a57ba3d1,Linux/Mirai.A,Trojan,Cleaned by deleting,user,/usr/bin/python3.10,Event occurred on a newly created file.,F2C7C8120C89832F94EF86F8B91D1EA5EBA688FC,@NAME=Linux/Mirai.A@TYPE=Backdoor@SUSP=mod
04/01/2024 12:05:01,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0e880278176968b83ee7dee2031ce1f7,Linux/Mirai.AE,Trojan,Cleaned by deleting,user,/usr/bin/python3.10,Event occurred on a newly created file.,0689C041F22BDF67AFF0F1EFC7F224A4F9632A0A,@NAME=Linux/Mirai.AE@TYPE=Backdoor@SUSP=mod
04/01/2024 12:14:27,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0ea1d1e65705f112548b1c5f598071b3,Linux/Mirai.ASV,Trojan,Cleaned by deleting,user,/usr/bin/python3.10,Event occurred on a newly created file.,794C554B82401051BC228E659B6C042D56FCD44B,@NAME=Linux/Mirai.ASV@TYPE=Backdoor@SUSP=mod
04/01/2024 12:33:25,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0ec96204bd52ab4fdb6ed1c40e5b8aa4,Linux/Gafgyt.AMV,Trojan,Cleaned by deleting,user,/usr/bin/python3.10,Event occurred on a newly created file.,C969559556B6E8F7BDCCD25CB71A35B49F0F5ED5,@NAME=Linux/Gafgyt.AMV@TYPE=Backdoor@SUSP=mod
04/01/2024 13:01:57,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0f23f4be99875c676effc4bf48f80f8f,Linux/Mirai.AT,Trojan,Cleaned by deleting,user,/usr/bin/python3.10,Event occurred on a newly created file.,17FE2B879138DF6C31E9162B22B6666E38A4C2CA,@NAME=Linux/Mirai.AT@TYPE=Backdoor@SUSP=mod
04/01/2024 13:01:57,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_0f23f4be99875c676effc4bf48f80f8f,Linux/Mirai.AT,Trojan,Cleaned by deleting,user,/usr/bin/python3.10,Event occurred on a newly created file.,17FE2B879138DF6C31E9162B22B6666E38A4C2CA,@NAME=Linux/Mirai.AT@TYPE=Backdoor@SUSP=mod
06/01/2024 16:37:41,1,Real-time file system protection,file:///home/user/virus_test_eset/flask_server/virus/VirusShare_3915c500a0f320cb6d56ad049131e047,Linux/Mirai.A,Trojan,Deleted,user,/usr/bin/python3.10,Event occurred on a newly created file.,6BC01645EEB3F915BE4735A3B6C5BBF5E4D2C55D,@NAME=Linux/Mirai.A@TYPE=Backdoor@SUSP=mod
